Name,Gameweek,Opposition,Pts,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Net Transfers,Selected by,Cost
Walker-Peters,1,CRY (A) 1 - 0,1,90,0,0,0,1,0,0,0,1,0,0,0,12,24,18.6,4,4.7,0,"748,080",4.5
Walker-Peters,2,TOT (H) 2 - 5,3,90,0,1,0,5,0,0,0,0,0,0,0,29,33,12.5,0,4.6,"-69,696","702,353",4.5
Walker-Peters,3,BUR (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,0,0,16,5.6,10.8,0,1.6,-34442,"685,330",4.5
Walker-Peters,4,WBA (H) 2 - 0,5,90,0,0,1,0,0,0,0,1,0,0,0,21,10.8,3.4,11,2.5,"43,503","744,822",4.5
Bednarek,1,CRY (A) 1 - 0,1,45,0,0,0,1,0,0,0,0,0,0,0,11,8.8,1.3,0,1,0,"196,908",£4.5
Bednarek,2,TOT (H) 2 - 5,0,90,0,0,0,5,0,0,0,0,0,0,0,13,12.4,1.5,0,1.4,"-27,099","173,374",£4.5
Bednarek,3,BUR (A) 0 - 1,8,90,0,0,1,0,0,0,0,0,0,0,2,28,25.8,0.1,4,3,"-27,904","147,219",£4.5
Bednarek,4,WBA (H) 2 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,25,10.4,0.7,17,2.8,"2,402","154,299",£4.5
Boly,1,SHU (A) 0 - 2,6,90,0,0,1,0,0,0,0,0,0,0,0,25,21.6,0.2,0,2.2,0,"138,741",£5.5
Boly,2,MCI (H) 1 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,10,18.8,0.3,4,2.3,"-6,419","153,262",£5.5
Boly,3,WHU (A) 4 - 0,0,90,0,0,0,4,0,0,0,0,0,0,0,17,15.2,0.9,0,1.6,"5,356","171,768",£5.5
Boly,4,FUL (H) 1 - 0,8,90,0,0,1,0,0,0,0,0,0,0,2,26,13,1,18,3.2,"-10,619","163,545",£5.5
Coleman,1,TOT (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,0,0,28,24,12.1,7,4.3,0,"41,401",£5.0
Coleman,2,WBA (H) 5 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,14,12,4.6,6,2.3,"49,538","117,980",£5.0
Coleman,3,CRY (A) 1 - 2,6,90,0,1,0,1,0,0,0,0,0,0,1,22,36.2,11.3,2,5,"9,004","131,420",£5.0
Coleman,4,BHA (H) 4 - 2,1,57,0,0,0,1,0,0,0,0,0,0,0,14,15.4,2,9,2.6,"48,071","193,284",£5.0
van Dijk,1,LEE (H) 4 - 3,7,90,1,0,0,3,0,0,0,0,0,0,0,19,37.6,0.8,37,7.5,0,"1,528,505",£6.5
van Dijk,2,CHE (A) 0 - 2,7,90,0,0,1,0,0,0,0,0,0,0,1,27,9,1.8,4,1.5,"-30,121","1,789,483",£6.5
van Dijk,3,ARS (H) 3 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,14,20.4,1.7,25,4.7,"42,574","1,978,302",£6.5
van Dijk,4,AVL (A) 7 - 2,-2,90,0,0,0,7,0,0,0,1,0,0,0,13,15.4,0.5,0,1.6,-19730,"2,027,164",£6.5
Alexander-Arnold,1,LEE (H) 4 - 3,1,88,0,0,0,3,0,0,0,0,0,0,0,10,7.8,30.4,0,3.8,0,"3,227,802",£7.5
Alexander-Arnold,2,CHE (A) 0 - 2,7,90,0,0,1,0,0,0,0,0,0,0,1,27,9.6,33.8,11,5.4,"-331,983","3,097,107",£7.5
Alexander-Arnold,3,ARS (H) 3 - 1,7,90,0,1,0,1,0,0,0,1,0,0,3,31,35.2,45.6,11,9.2,"-186,261","3,020,468",£7.5
Alexander-Arnold,4,AVL (A) 7 - 2,-1,90,0,0,0,7,0,0,0,0,0,0,0,17,18.2,17.1,18,5.3,-50240,"3,037,764",£7.5
Vestergaard,1,CRY (A) 1 - 0,1,45,0,0,0,0,0,0,0,0,0,0,0,19,17.6,10.4,4,3.2,0,"36,388",£4.5
Vestergaard,2,TOT (H) 2 - 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-3,763","37,373",£4.5
Vestergaard,3,BUR (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,0,0,27,32.4,0.9,0,3.3,"-5,509","32,864",£4.5
Vestergaard,4,WBA (H) 2 - 0,7,90,0,0,1,0,0,0,0,0,0,0,1,26,10.4,1.3,0,1.2,11,"34,530",£4.5
Ogbonna,1,NEW (H) 0 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,14,30,1.1,6,3.7,0,"25,125",£5.0
Ogbonna,2,ARS (A) 2 - 1,1,90,0,0,0,2,0,0,0,0,0,0,0,12,24.4,0.5,19,4.4,"-4,340","23,987",£5.0
Ogbonna,3,WOL (H) 4 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,21,18.6,0.2,4,2.3,"-2,377","23,227",£5.0
Ogbonna,4,LEI (A) 0 - 3,6,90,0,0,1,0,0,0,0,0,0,0,0,22,15.4,0,2,1.7,-418,"24,233",£4.9
Coady,1,SHU (A) 0 - 2,8,90,0,0,1,0,0,0,0,0,0,0,2,29,22,0,0,2.2,0,"556,410",£5.0
Coady,2,MCI (H) 1 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,10,10.8,10,0,2.1,"-8,498","599,340",£5.0
Coady,3,WHU (A) 4 - 0,-1,90,0,0,0,4,0,0,0,1,0,0,0,5,10.6,1.3,0,1.2,"35,736","661,881",£5.0
Coady,4,FUL (H) 1 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,25,13,0.1,0,1.3,"-33,772","628,713",£5.0
Cash,2,SHU (H) 1 - 0,5,90,0,0,1,0,0,0,0,1,0,0,0,27,19,33.9,16,6.9,686,"25,413",£5.0
Cash,3,FUL (A) 0 - 3,6,90,0,0,1,0,0,0,0,0,0,0,0,28,36.2,14.8,2,5.3,"3,693","32,286",£5.0
Cash,4,LIV (H) 7 - 2,1,79,0,0,0,2,0,0,0,0,0,0,0,14,17.2,10.2,0,2.7,"1,252","34,728",£5.0
Mitchell,1,SOU (H) 1 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,23,17.6,0.7,0,1.8,0,"783,246",£4.0
Mitchell,2,MUN (A) 1 - 3,5,90,0,1,0,1,0,0,0,0,0,0,0,16,12,1.2,0,1.3,"266,503","1,222,530",£4.0
Mitchell,3,EVE (H) 1 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,10,21.6,6.9,2,3.1,"390,665","1,680,837",£4.1
Mitchell,4,CHE (A) 4 - 0,0,90,0,0,0,4,0,0,0,0,0,0,0,5,8.2,1.3,0,1,"120,420","1,813,731",£4.1
Aurier,1,EVE (H) 0 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"236,728",£5.5
Aurier,2,SOU (A) 2 - 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-73,290","171,292",£5.4
Aurier,3,NEW (H) 1 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-52,114","123,513",£5.3
Aurier,4,MUN (A) 1 - 6,12,90,1,1,0,1,0,0,0,0,0,0,1,41,71,13.8,56,14.1,"-24,948","101,336",£5.2
Balbuena,1,NEW (H) 0 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,269",£4.5
Balbuena,2,ARS (A) 2 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,753","10,766",£4.5
Balbuena,3,WOL (H) 4 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,26,17.4,3.1,0,2.1,"-1,411","9,947",£4.4
Balbuena,4,LEI (A) 0 - 3,6,90,0,0,1,0,0,0,0,0,0,0,0,24,16,0.1,8,2.4,"1,417","12,335",£4.4
Saiss,5,LEE (A) 0 - 1,7,90,0,0,1,0,0,0,0,0,0,0,1,26,14.0,10.5,2.0,2.7,199732,1087824,£5.1
Mings,5,LEI (A) 0 - 1,7,90,0,0,1,0,0,0,0,0,0,0,1,26,18.4,0.5,2.0,2.1,120209,424835,£5.1
Castagne,5,AVL (H) 0 - 1,1,90,0,0,0,1,0,0,0,1,0,0,0,5,12.6,2.8,29.0,4.4,260465,1508324,£5.8
Cresswell,5,TOT (A) 3 - 3,5,90,0,1,0,3,0,0,0,0,0,0,1,27,32.6,34.0,1.0,6.8,148325,255018,£4.9
Konsa,5,LEI (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,0,0,20,11.0,0.2,9.0,2.0,102337,406292,£4.6
Digne,5,LIV (H) 2 - 2,7,90,0,1,0,2,0,0,0,0,0,0,3,34,42.2,29.5,0.0,7.2,-45422,1082084,£6.1
Robertson,5,EVE (A) 2 - 2,6,90,0,1,0,2,0,0,0,0,0,0,2,33,35.0,43.4,8.0,8.6,70877,1122717,£7.0
Keane,5,LIV (H) 2 - 2,8,90,1,0,0,2,0,0,0,0,0,0,1,28,58.0,10.2,33.0,10.1,-15862,299234,£5.0
Zouma,5,SOU (H) 3 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,15,28.0,0.7,19.0,4.8,139084,312917,£5.0
Gabriel,5,MCI (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,0,0,13,17.0,0.4,22.0,3.9,-41407,890460,£5.1
Chilwell,5,SOU (H) 3 - 3,3,90,0,1,0,3,0,0,0,1,0,0,0,25,42.2,57.3,21.0,12.1,578624,791150,£5.6
Vestergaard,5,CHE (A) 3 - 3,7,90,1,0,0,3,0,0,0,0,0,0,0,24,47.2,1.5,19.0,6.8,2616,38905,£4.5
Boly,5,LEE (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,0,0,20,17.2,0.8,0.0,1.8,626,170819,£5.5
Kilman,1,SHU (A) 0 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,108444,£4.0
Kilman,2,MCI (H) 1 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-4861,122040,£4.0
Kilman,3,WHU (A) 4 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-2907,127608,£4.0
Kilman,4,FUL (H) 1 - 0,9,90,0,0,1,0,0,0,0,0,0,0,3,29,15.4,21.9,0.0,3.7,-2181,130061,£4.0
Kilman,5,LEE (A) 0 - 1,12,90,0,1,1,0,0,0,0,0,0,0,3,37,37.0,10.3,0.0,4.7,104204,259179,£4.0
Bellerin,5,MCI (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,0,0,15,10.8,2.0,0.0,1.3,55973,403783,£5.0
Justin,5,AVL (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,11,21.2,10.9,0.0,3.2,-11258,1627600,£4.7
Coady,5,LEE (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,0,0,23,13.4,0.1,0.0,1.4,-12133,624749,£5.0
Masuaku,5,TOT (A) 3 - 3,0,89,0,0,0,3,0,0,0,1,0,0,0,9,9.0,20.1,24.0,5.3,33193,79278,£4.5
Balbuena,5,TOT (A) 3 - 3,7,90,1,0,0,3,0,0,0,0,0,0,0,24,49.0,0.3,17.0,6.6,12609,28050,£4.4
Cash,5,LEI (A) 0 - 1,6,90,0,0,1,0,0,0,0,1,0,0,1,26,17.2,1.1,0.0,1.8,3950,40928,£5.0
Mina,5,LIV (H) 2 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,6,6.0,0.2,4.0,1.0,18505,140836,£5.5
Targett,2,SHU (H) 1 - 0,5,90,0,0,1,0,0,0,0,1,0,0,0,18,0.8,11.0,2.0,1.4,-2667,59892,£4.5
Targett,3,FUL (A) 0 - 3,5,90,0,0,1,0,0,0,0,1,0,0,0,24,8.6,2.0,0.0,1.1,2569,65844,£4.5
Targett,4,LIV (H) 7 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,11,13.0,0.6,0.0,1.4,-881,65893,£4.5
Targett,5,LEI (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,0,0,22,9.4,14.2,8.0,3.2,11706,80822,£4.5
James,5,SOU (H) 3 - 3,1,3,0,0,0,1,0,0,0,0,0,0,0,2,1.2,0.3,0.0,0.2,-195624,957377,£5.1
Bertrand,5,CHE (A) 3 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,5,6.4,2.7,2.0,1.1,-28,95509,£5.0
Walker-Peters,5,CHE (A) 3 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,11,25.6,3.6,17.0,4.6,38507,787702,£4.5
Bednarek,5,CHE (A) 3 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,12,12.4,10.8,0.0,2.3,1980,158031,£4.5
Coleman,5,LIV (H) 2 - 2,1,30,0,0,0,1,0,0,0,0,0,0,0,3,5.2,0.3,0.0,0.6,-30694,157184,£5.0
van Dijk,5,EVE (A) 2 - 2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-133107,1938488,£6.5
Alexander-Arnold,5,EVE (A) 2 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,14,12.2,16.9,8.0,3.7,-250781,2815810,£7.5
Ogbonna,5,TOT (A) 3 - 3,0,90,0,0,0,3,0,0,0,1,0,0,0,8,11.4,11.7,2.0,2.5,1215,27552,£4.9
Lamptey,1,CHE (H) 1 - 3,3,90,0,1,0,3,0,0,0,1,0,0,0,22,33.8,27.3,20.0,8.1,0,114860,£4.5
Lamptey,2,NEW (A) 0 - 3,4,57,0,1,0,0,0,0,0,0,0,0,0,12,4.8,0.9,21.0,2.7,95722,255961,£4.5
Lamptey,3,MUN (H) 2 - 3,4,90,0,1,0,3,0,0,0,0,0,0,0,21,10.0,2.5,2.0,1.5,173130,449371,£4.6
Lamptey,4,EVE (A) 4 - 2,0,45,0,0,0,2,0,0,0,0,0,0,0,9,8.0,15.1,0.0,2.3,224217,710031,£4.6
Lamptey,5,CRY (A) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,10,15.0,47.0,24.0,8.6,20621,723139,£4.7
Mitchell,5,BHA (H) 1 - 1,1,90,0,0,0,1,0,0,0,1,0,0,0,4,9.2,0.9,0.0,1.0,89411,1922192,£4.1
Dallas,1,LIV (A) 4 - 3,3,90,0,1,0,4,0,0,0,0,0,0,0,21,23.2,1.3,2.0,2.7,0,256415,£4.5
Dallas,2,FUL (H) 4 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,18,21.2,3.7,4.0,2.9,58951,358887,£4.5
Dallas,3,SHU (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,0,0,22,16.2,19.3,32.0,6.8,-24854,336050,£4.5
Dallas,4,MCI (H) 1 - 1,1,90,0,0,0,1,0,0,0,1,0,0,0,11,22.8,12.2,33.0,6.8,6112,349548,£4.5
Dallas,5,WOL (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,14,19.0,3.8,0.0,2.3,50072,409451,£4.5
Ake,2,WOL (A) 1 - 3,2,90,0,0,0,1,0,0,0,0,0,0,0,12,7.4,0.4,0.0,0.8,4175,474483,£5.5
Ake,3,LEI (H) 2 - 5,5,90,1,0,0,5,0,0,0,1,0,0,0,21,43.2,7.8,17.0,6.8,33398,544619,£5.5
Ake,4,LEE (A) 1 - 1,1,19,0,0,0,0,0,0,0,0,0,0,0,4,4.6,10.7,2.0,1.7,7538,572796,£5.5
Ake,5,ARS (H) 1 - 0,5,90,0,0,1,0,0,0,0,1,0,0,0,20,9.2,5.8,0.0,1.5,-63361,516579,£5.5
Aurier,5,WHU (H) 3 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,19,23.2,16.2,4.0,4.3,59518,183752,£5.2
Saiss,6,NEW (H) 1 - 1,7,67,0,0,1,0,0,0,0,0,0,0,1,23,8.6,5.3,0.0,1.4,237092,1342548,£5.2
Castagne,6,ARS (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,0,0,22,17.2,11.4,2.0,3.1,11055,1500321,£5.8
Zouma,6,MUN (A) 0 - 0,9,90,0,0,1,0,0,0,0,0,0,0,3,33,27.8,11.3,2.0,4.1,-9060,290727,£5.0
Cresswell,6,MCI (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,14,9.4,14.8,0.0,2.4,144609,409738,£5.0
Mings,6,LEE (H) 0 - 3,0,90,0,0,0,3,0,0,0,1,0,0,0,11,11.4,10.6,0.0,2.2,297802,750216,£5.2
Konsa,6,LEE (H) 0 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,11,26.4,0.0,17.0,4.3,160144,578423,£4.6
Chilwell,6,MUN (A) 0 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,28,22.2,28.4,0.0,5.1,254369,1032032,£5.7
Robertson,6,SHU (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,16,18.2,26.4,22.0,6.7,233298,1389355,£7.1
Vestergaard,6,EVE (H) 2 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,27,33.2,0.9,19.0,5.3,65537,117128,£4.5
Justin,6,ARS (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,0,0,18,3.4,2.3,0.0,0.6,-56633,1573115,£4.8
James,6,MUN (A) 0 - 0,8,90,0,0,1,0,0,0,0,0,0,0,2,32,18.8,3.7,20.0,4.3,-178983,785928,£5.0
Digne,6,SOU (A) 2 - 0,-2,71,0,0,0,2,0,0,0,0,1,0,0,-3,0.0,3.1,2.0,0.5,236689,1358086,£6.2
Keane,6,SOU (A) 2 - 0,1,90,0,0,0,2,0,0,0,0,0,0,0,17,21.8,0.4,0.0,2.2,117006,436920,£5.1
Gabriel,6,LEI (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,14,18.2,2.3,24.0,4.5,-25935,876080,£5.1
